품목코드,ITEM CODE,Color/Category,품목명[규격],재고수량,단종여부,도매주문단위,주문제표시,품번,한글명,소요량,재고상태,재고상황,재고상태,카테고리,순서,,상품명,색상번호,색상명,재고,,
02104066,1139.0004,lilac/light green,SecretGarden/0004,11,24 SS,5,,1139,시크릿 가든,4,2.75 ,여유,🔵,2,3,,시크릿 가든,1139.0004,lilac/light green,🔵,,1139.0004
02104067,1139.0005,lilac/pink,SecretGarden/0005,9,24 SS,5,,1139,시크릿 가든,4,2.25 ,여유,🔵,2,3,,시크릿 가든,1139.0005,lilac/pink,🔵,,1139.0005
02104068,1139.0006,lilac/rose,SecretGarden/0006,14,24 SS,5,,1139,시크릿 가든,4,3.50 ,여유,🔵,2,3,,시크릿 가든,1139.0006,lilac/rose,🔵,,1139.0006
02104069,1139.0007,green/petrol,SecretGarden/0007,10,24 SS,5,,1139,시크릿 가든,4,2.50 ,여유,🔵,2,3,,시크릿 가든,1139.0007,green/petrol,🔵,,1139.0007
02104070,1139.0008,turquoise/atlantic,SecretGarden/0008,17,생산종료,5,,1139,시크릿 가든,4,4.25 ,여유,🔵,2,3,,시크릿 가든,1139.0008,turquoise/atlantic,🔵,,1139.0008
02205049,1139.0009,grey/sandstone,SecretGarden/0009,5,25 SS,5,,1139,시크릿 가든,4,1.25 ,양호,🟢,2,3,,시크릿 가든,1139.0009,grey/sandstone,🟢,,1139.0009
02205050,1139.0010,orange/brown/offhwite,SecretGarden/0010,14,25 SS,5,,1139,시크릿 가든,4,3.50 ,여유,🔵,2,3,,시크릿 가든,1139.0010,orange/brown/offhwite,🔵,,1139.0010
02205051,1139.0011,berry/lilac/grey,SecretGarden/0011,13,25 SS,5,,1139,시크릿 가든,4,3.25 ,여유,🔵,2,3,,시크릿 가든,1139.0011,berry/lilac/grey,🔵,,1139.0011
02205052,1139.0012,blue/sand,SecretGarden/0012,13,25 SS,5,,1139,시크릿 가든,4,3.25 ,여유,🔵,2,3,,시크릿 가든,1139.0012,blue/sand,🔵,,1139.0012
00415,1136.0005,grey,Siempre/0005,13,24 SS,1,,1136,시엠프레,4,3.25 ,여유,🔵,2,4,,시엠프레,1136.0005,grey,🔵,,1136.0005
02205046,1136.0006,royal,Siempre/0006,2,25 SS,1,,1136,시엠프레,4,0.50 ,낱볼,🔴,2,4,,시엠프레,1136.0006,royal,🔴,,1136.0006
02104059,1136.0013,yellow,Siempre/0013,0,24 SS,1,,1136,시엠프레,4,0.00 ,품절,❌,2,4,,시엠프레,1136.0013,yellow,❌,,1136.0013
02104060,1136.0016,light green,Siempre/0016,10,24 SS,1,,1136,시엠프레,4,2.50 ,여유,🔵,2,4,,시엠프레,1136.0016,light green,🔵,,1136.0016
02205047,1136.0018,dark green,Siempre/0018,14,25 SS,1,,1136,시엠프레,4,3.50 ,여유,🔵,2,4,,시엠프레,1136.0018,dark green,🔵,,1136.0018
02104061,1136.0028,salmon,Siempre/0028,20,24 SS,1,,1136,시엠프레,4,5.00 ,여유,🔵,2,4,,시엠프레,1136.0028,salmon,🔵,,1136.0028
00416,1136.0046,lilac,Siempre/0046,3,24 SS,1,,1136,시엠프레,4,0.75 ,낱볼,🔴,2,4,,시엠프레,1136.0046,lilac,🔴,,1136.0046
02205048,1136.0048,dusky pink,Siempre/0048,11,25 SS,1,,1136,시엠프레,4,2.75 ,여유,🔵,2,4,,시엠프레,1136.0048,dusky pink,🔵,,1136.0048
02104062,1136.0059,orange,Siempre/0059,12,24 SS,1,,1136,시엠프레,4,3.00 ,여유,🔵,2,4,,시엠프레,1136.0059,orange,🔵,,1136.0059
00417,1136.0074,atlantic,Siempre/0074,12,24 SS,1,,1136,시엠프레,4,3.00 ,여유,🔵,2,4,,시엠프레,1136.0074,atlantic,🔵,,1136.0074
00418,1136.0088,petrol,Siempre/0088,13,24 SS,1,,1136,시엠프레,4,3.25 ,여유,🔵,2,4,,시엠프레,1136.0088,petrol,🔵,,1136.0088
00419,1136.0090,lilac,Siempre/0090,9,24 SS,1,,1136,시엠프레,4,2.25 ,여유,🔵,2,4,,시엠프레,1136.0090,lilac,🔵,,1136.0090
03173056,1115.0001,blue/green,Footprints/0001,10,,2,,1115,풋프린츠,4,2.50 ,여유,🔵,2,5,,풋프린츠,1115.0001,blue/green,🔵,,1115.0001
03173057,1115.0002,rose/green,Footprints/0002,10,,2,,1115,풋프린츠,4,2.50 ,여유,🔵,2,5,,풋프린츠,1115.0002,rose/green,🔵,,1115.0002
03173058,1115.0003,multicolour,Footprints/0003,8,,2,,1115,풋프린츠,4,2.00 ,양호,🟢,2,5,,풋프린츠,1115.0003,multicolour,🟢,,1115.0003
03173059,1115.0004,turquoise/brown/blue,Footprints/0004,0,,2,,1115,풋프린츠,4,0.00 ,품절,❌,2,5,,풋프린츠,1115.0004,turquoise/brown/blue,❌,,1115.0004
03173060,1115.0005,orange/blue/green,Footprints/0005,6,,2,,1115,풋프린츠,4,1.50 ,양호,🟢,2,5,,풋프린츠,1115.0005,orange/blue/green,🟢,,1115.0005
03173061,1115.0006,green/yellow/rose,Footprints/0006,8,,2,,1115,풋프린츠,4,2.00 ,양호,🟢,2,5,,풋프린츠,1115.0006,green/yellow/rose,🟢,,1115.0006
02104032,1115.0007,blue,Footprints/0007,8,24 SS,2,,1115,풋프린츠,4,2.00 ,양호,🟢,2,5,,풋프린츠,1115.0007,blue,🟢,,1115.0007
02104033,1115.0008,orange/green/brown,Footprints/0008,10,24 SS,2,,1115,풋프린츠,4,2.50 ,여유,🔵,2,5,,풋프린츠,1115.0008,orange/green/brown,🔵,,1115.0008
02104034,1115.0009,black/lilac/petrol,Footprints/0009,10,24 SS,2,,1115,풋프린츠,4,2.50 ,여유,🔵,2,5,,풋프린츠,1115.0009,black/lilac/petrol,🔵,,1115.0009
02104035,1115.0010,yellow/rose,Footprints/0010,14,24 SS,2,,1115,풋프린츠,4,3.50 ,여유,🔵,2,5,,풋프린츠,1115.0010,yellow/rose,🔵,,1115.0010
